날짜,조식,조식열량,중식,중식열량,석식,석식열량,증특식,증특식열량,열량합계
"2026-06-26","스팸감자조림","78.43kcal","햄계란찜","157.95kcal","모듬전","267.49kcal","","","3294.60kcal"
"2026-06-26","백색우유","129.5kcal","호두과자","168.5kcal","블루베리","17.85kcal","","","3294.60kcal"
"2026-06-26","배추김치","14kcal","배추김치","14kcal","배추김치","14kcal","","","3294.60kcal"
"2026-06-27","투움바스파게티","735.01kcal","컵밥2","375kcal","쌀밥","306kcal","","","2987.03kcal"
"2026-06-27","바나나","81.6kcal","0","0","쇠고기탕국","137.96kcal","","","2987.03kcal"
"2026-06-27","백색우유","129.5kcal","0","0","오리고추장주물럭","405.89kcal","","","2987.03kcal"
"2026-06-27","허니브레드&생크림","416.82kcal","0","0","모듬쌈&두부쌈장","48.36kcal","","","2987.03kcal"
"2026-06-27","과일푸딩","100kcal","0","0","경주빵","84.25kcal","","","2987.03kcal"
"2026-06-27","보코치니닭가슴살샐러드","117.48kcal","0","0","배추김치","14kcal","","","2987.03kcal"
"2026-06-27","할라피뇨&오이피클","35.16kcal","0","0","0","0","","","2987.03kcal"
"2026-06-28","쌀밥","306kcal","잡곡밥","312.38kcal","새우볶음밥(완)","474.25kcal","","","2859.78kcal"
"2026-06-28","배추된장국","10.25kcal","맑은순두부계란탕","96.72kcal","페퍼로니치아바타(완)","424.8kcal","","","2859.78kcal"
"2026-06-28","김치볶음","57.94kcal","분모자안동찜닭","387.69kcal","팽이버섯유부장국","19.99kcal","","","2859.78kcal"
"2026-06-28","돈육굴소스양배추볶음","265.11kcal","마늘쫑장아찌무침","47.41kcal","백색우유","129.5kcal","","","2859.78kcal"
"2026-06-28","스틱김자반","50kcal","프로틴초코볼","80kcal","오이피클","43.74kcal","","","2859.78kcal"
"2026-06-28","두유","140kcal","배추김치","14kcal","0","0","","","2859.78kcal"
"2026-06-29","쌀밥","306kcal","조밥","307.79kcal","쌀밥","306kcal","","","2802.89kcal"
"2026-06-29","조랭이떡국","291.21kcal","쇠고기아욱국","84.9kcal","황태채미역국","27.12kcal","","","2802.89kcal"
"2026-06-29","밥싸먹는닭가슴살햄","55kcal","피자치즈롤까스","544.5kcal","건새우호박볶음","31.01kcal","","","2802.89kcal"
"2026-06-29","양념고추지","49.6kcal","크랩양상추샐러드","157.66kcal","미트볼과일소스조림","421.4kcal","","","2802.89kcal"
"2026-06-29","백색우유","129.5kcal","후식(1종)","39kcal","대추방울토마토","10.2kcal","","","2802.89kcal"
"2026-06-29","배추김치","14kcal","배추김치","14kcal","배추김치","14kcal","","","2802.89kcal"
"2026-06-30","쌀밥","306kcal","찰현미밥","324.15kcal","쌀밥","306kcal","","","3509.96kcal"
"2026-06-30","돼지고기애호박찌개","100.54kcal","계란조갯살찌개","71.52kcal","어묵김치찌개","83.72kcal","","","3509.96kcal"
"2026-06-30","부추스크램블에그","117.95kcal","제육간장불고기","376.44kcal","분모자로제찜닭","381.46kcal","","","3509.96kcal"
"2026-06-30","소시지떡말이구이","1105.45kcal","새송이버섯무침","37.38kcal","오이참기름무침","36.35kcal","","","3509.96kcal"
"2026-06-30","백색우유","129.5kcal","짜먹는발효유","35kcal","자두에이드","56.5kcal","","","3509.96kcal"
"2026-06-30","배추김치","14kcal","배추김치","14kcal","배추김치","14kcal","","","3509.96kcal"
"2026-07-01","쌀밥","306kcal","쌀밥","306kcal","야채볶음밥&짜장소스","558.13kcal","","","4044.68kcal"
"2026-07-01","쇠고기곰탕(완,조식)","341kcal","옹심이미역국","60.94kcal","나가사끼짬뽕찌개","222.79kcal","","","4044.68kcal"
"2026-07-01","햄슬라이스야채볶음","168.4kcal","하와이안찹스테이크","556.04kcal","오곡탕수육","930.38kcal","","","4044.68kcal"
"2026-07-01","조미김","54kcal","조각케익","0kcal","짜사이무침","58.57kcal","","","4044.68kcal"
"2026-05-30","푸딩샐러드","80.3kcal","","","콩나물매운무침","27.52kcal","","","3799.79kcal"
"2026-05-30","쥬시쿨(자두맛)","65kcal","","","참치콘샐러드&모닝빵","1159.88kcal","","","3799.79kcal"
"2026-05-30","피자브리또(완)","330kcal","","","배추김치","14kcal","","","3799.79kcal"
"2026-05-30","바나나","81.6kcal","","","","","","","3799.79kcal"
"2026-05-31","불고기치아바타(완)","476kcal","쌀밥","306kcal","스팸마요덮밥","488.56kcal","","","3198.20kcal"
"2026-05-31","브로콜리크림스프","4.42kcal","느타리버섯배추국","26.96kcal","미소된장국","31.66kcal","","","3198.20kcal"
"2026-05-31","시리얼","218.5kcal","대패삼겹살굴소스볶음","499.58kcal","하와이안찹스테이크","323.59kcal","","","3198.20kcal"
"2026-05-31","닭가슴살샐러드","177.69kcal","두부구이&양념장","234.23kcal","오이지무침","11.31kcal","","","3198.20kcal"
"2026-05-31","백색우유","129.5kcal","배추김치","14kcal","대추방울토마토","10.2kcal","","","3198.20kcal"
"2026-06-01","쌀밥","306kcal","잡곡밥","312.38kcal","쌀밥","306kcal","","","3624.93kcal"
"2026-06-01","쇠고기무국","85.52kcal","옹심이미역국","25.42kcal","육개장","156.61kcal","","","3624.93kcal"
"2026-06-01","멸치땅콩볶음","110.98kcal","한방돼지갈비찜","784.46kcal","진미채볶음","6.9kcal","","","3624.93kcal"
"2026-06-01","동그랑땡데리야끼조림","395.2kcal","치커리유자청무침","19.3kcal","쇠고기우엉조림","322.55kcal","","","3624.93kcal"
"2026-06-01","백색우유","129.5kcal","조각케익","304kcal","타코야끼","318.11kcal","","","3624.93kcal"
"2026-06-01","배추김치","14kcal","배추김치","14kcal","배추김치","14kcal","","","3624.93kcal"
"2026-06-02","쌀밥","306kcal","찹쌀밥","338kcal","쌀밥","306kcal","","","3067.52kcal"
"2026-06-02","두부맑은국","61.34kcal","배추들깨국","43.94kcal","순두부찌개","141.9kcal","","","3067.52kcal"
"2026-06-02","돈육장조림(완)","235kcal","오리고추장불고기","477.4kcal","미트볼라따뚜이","367kcal","","","3067.52kcal"
"2026-06-02","알마늘낙지젓무침","35.44kcal","쌈무&깻잎쌈","8.1kcal","감자새우롤","456.9kcal","","","3067.52kcal"
"2026-06-02","떠먹는발효유","80kcal","백색우유","129.5kcal","후식(1종)","39kcal","","","3067.52kcal"
"2026-06-02","배추김치","14kcal","배추김치","14kcal","배추김치","14kcal","","","3067.52kcal"
"2026-06-03","쌀밥","306kcal","쌀밥","306kcal","쌀밥","306kcal","","","2921.41kcal"
"2026-06-03","팽이버섯된장국","33.37kcal","양지수육곰탕(완)","297.15kcal","얼큰콩나물국","25.99kcal","","","2921.41kcal"
"2026-06-03","비엔나소시지케찹볶음","248.45kcal","갈릭치킨스테이크","468.48kcal","돼지고기부추볶음","420.48kcal","","","2921.41kcal"
"2026-06-03","감자고추장조림","48.01kcal","아삭이고추겉절이무침","23.97kcal","뿌링클볼어묵볶음","118.31kcal","","","2921.41kcal"
"2026-06-03","가공우유(딸기)","165kcal","대추방울토마토","10.2kcal","마시는발효유","102kcal","","","2921.41kcal"
"2026-06-03","배추김치","14kcal","배추김치","14kcal","배추김치","14kcal","","","2921.41kcal"
"2026-06-04","쌀밥","306kcal","돈가츠우동","958.37kcal","쌀밥","306kcal","","","2783.18kcal"
"2026-06-04","쇠고기애호박찌개","54.54kcal","김가루주먹밥(소량)","113.37kcal","돼지고기짜글이","165.88kcal","","","2783.18kcal"
"2026-06-04","햄슬라이스야채볶음","146.25kcal","어린잎채소샐러드","10.9kcal","우삼겹야채찜(볶음)","249.32kcal","","","2783.18kcal"
"2026-06-04","계란말이(대파,맛살)","119.4kcal","수박","88.32kcal","도토리묵&양념장","46.33kcal","","","2783.18kcal"
"2026-06-04","백색우유","129.5kcal","배추김치&단무지","61kcal","배추김치","14kcal","","","2783.18kcal"
"2026-06-04","배추김치","14kcal","0","0","0","0","","","2783.18kcal"
"2026-06-05","현미밥","324.15kcal","찰보리비빔밥&볶음고추장","562.56kcal","쌀밥","306kcal","","","3365.32kcal"
"2026-06-05","느타리버섯배추국","26.96kcal","두부된장국","41.44kcal","쇠고기곰탕","71.53kcal","","","3365.32kcal"
"2026-06-05","명란떡갈비","508.2kcal","돈육버섯잡채","194.91kcal","청경채굴소스볶음","50.12kcal","","","3365.32kcal"
"2026-06-05","연두부양념장","205.63kcal","가자미구이&양념장","183.31kcal","닭바베큐소스조림","326.01kcal","","","3365.32kcal"
"2026-06-05","두유","140kcal","찹쌀김부각","215kcal","참외","38kcal","","","3365.32kcal"
"2026-06-05","배추김치","14kcal","백색우유","129.5kcal","배추김치","14kcal","","","3365.32kcal"
"2026-06-05","0","0","배추김치","14kcal","0","0","","","3365.32kcal"
"2026-06-06","불고기바게트샌드위치","551.7kcal","라면(즉석 컵)","365kcal","쌀밥","306kcal","","","3007.95kcal"
"2026-06-06","주먹밥(간장버터치즈맛)","173kcal","0","0","짬뽕탕","189.35kcal","","","3007.95kcal"
"2026-06-06","화이트소시지구이","312.03kcal","0","0","쇠고기버섯볶음","319.68kcal","","","3007.95kcal"
"2026-06-06","백색우유","129.5kcal","0","0","오이양파장아찌","21.1kcal","","","3007.95kcal"
"2026-06-06","시리얼","218.5kcal","0","0","레몬에이드","50kcal","","","3007.95kcal"
"2026-06-06","탄산음료","110kcal","0","0","배추김치","14kcal","","","3007.95kcal"
"2026-06-06","나쵸샐러드","248.09kcal","0","0","0","0","","","3007.95kcal"
"2026-06-07","무지개떡만둣국","220.67kcal","쌀밥","306kcal","쌀밥","306kcal","","","3410.09kcal"
"2026-06-07","쌀밥","306kcal","근대콩나물조개국","22.58kcal","황태설렁탕","130.69kcal","","","3410.09kcal"
"2026-06-07","언양식반달불고기","297.17kcal","콘치즈오븐구이","505.77kcal","오징어제육볶음","438.39kcal","","","3410.09kcal"
"2026-06-07","단무지","67.5kcal","닭양념찜","424.06kcal","양배추쌈","17.76kcal","","","3410.09kcal"
"2026-06-07","백색우유","129.5kcal","토핑형발효유","135kcal","크림슈","75kcal","","","3410.09kcal"
"2026-06-07","0","0","배추김치","14kcal","배추김치","14kcal","","","3410.09kcal"
"2026-06-08","쌀밥","306kcal","통밀잡곡밥","288.92kcal","쌀밥","306kcal","","","2467.40kcal"
"2026-06-08","쇠고기미역국","50.39kcal","강된장찌개","106.47kcal","돼지고기감자찌개","109kcal","","","2467.40kcal"
"2026-06-08","밥싸먹는훈제오리","170.85kcal","대패삼겹곱창볶음","472.82kcal","고기산적볶음","307.08kcal","","","2467.40kcal"
"2026-06-08","명태채간장조림","37.94kcal","참나물무침","28.4kcal","들깨무나물","50.96kcal","","","2467.40kcal"
"2026-06-08","백색우유","129.5kcal","푸딩샐러드","21.07kcal","빅요구르트","40kcal","","","2467.40kcal"
"2026-06-08","배추김치","14kcal","배추김치","14kcal","배추김치","14kcal","","","2467.40kcal"
"2026-06-09","쌀밥","306kcal","흑미밥","307.87kcal","쌀밥","306kcal","","","3826.16kcal"
"2026-06-09","김계란국","75.42kcal","미니우동","285.84kcal","오징어무국","86.76kcal","","","3826.16kcal"
"2026-06-09","돈육야채볶음","297.92kcal","타워함박스테이크","722.56kcal","제육고추장불고기","574.74kcal","","","3826.16kcal"
"2026-06-09","시금치된장무침","18.61kcal","후식(1종)","39kcal","브로콜리깨소금무침","13.74kcal","","","3826.16kcal"
"2026-06-09","백색우유","129.5kcal","콥샐러드","221kcal","꽈배기","399.2kcal","","","3826.16kcal"
"2026-06-09","배추김치","14kcal","배추김치","14kcal","배추김치","14kcal","","","3826.16kcal"
"2026-06-10","조밥","307.79kcal","도토리수제비","130.71kcal","후리가케밥","307.4kcal","","","3462.62kcal"
"2026-06-10","근대된장국","44.71kcal","양큐브스테이크구이","372.64kcal","꼬치어묵탕","87.32kcal","","","3462.62kcal"
"2026-06-10","닭살간장볶음","324.27kcal","생크림오믈렛","89.28kcal","피자로니떡볶이","425.97kcal","","","3462.62kcal"
"2026-06-10","궁채장아찌","15.5kcal","날치알김치덮밥","526.17kcal","모듬튀김","538.2kcal","","","3462.62kcal"
"2026-06-10","백색우유","129.5kcal","만다린샐러드","56.16kcal","쥬시쿨(파인맛)","65kcal","","","3462.62kcal"
"2026-06-10","배추김치","14kcal","배추김치","14kcal","배추김치","14kcal","","","3462.62kcal"
"2026-06-11","쌀밥","306kcal","검은콩밥","318kcal","상하이치킨버거","755.78kcal","","","4213.36kcal"
"2026-06-11","햄두부찌개","153.46kcal","황태콩나물해장국","70.61kcal","벌집감자튀김","374.1kcal","","","4213.36kcal"
"2026-06-11","오믈렛(피자)","173kcal","묵은지수육삼합","668.79kcal","버팔로윙","441.75kcal","","","4213.36kcal"
"2026-06-11","쇠고기장조림","236.05kcal","영양부추겉절이","27.93kcal","백색우유","129.5kcal","","","4213.36kcal"
"2026-06-11","가공우유(메론)","195kcal","대추방울토마토","10.2kcal","시리얼","218.5kcal","","","4213.36kcal"
"2026-06-11","배추김치","14kcal","배추김치","14kcal","제로사이다","0kcal","","","4213.36kcal"
"2026-06-11","0","0","0","0","양배추콘샐러드","106.69kcal","","","4213.36kcal"
"2026-06-12","쌀밥","306kcal","병천순대국밥","686.52kcal","쌀밥","306kcal","","","3094.36kcal"
"2026-06-12","쇠고기우거지국","85.4kcal","궁중녹두전","231.15kcal","삼겹살김치찌개","262.9kcal","","","3094.36kcal"
"2026-06-12","떡말이어묵구이","166.28kcal","오징어야채무침&소면","184.44kcal","비엔나소시지야채볶음","278.84kcal","","","3094.36kcal"
"2026-06-12","땅콩조림","48.26kcal","매실에이드","55kcal","연두부샐러드","223.75kcal","","","3094.36kcal"
"2026-06-12","백색우유","129.5kcal","배추김치","14kcal","수박","88.32kcal","","","3094.36kcal"
"2026-06-12","배추김치","14kcal","0","0","배추김치","14kcal","","","3094.36kcal"
"2026-06-13","베이컨로제스파게티","434.63kcal","컵밥1","505kcal","찹쌀밥","338kcal","","","3101.50kcal"
"2026-06-13","훈제닭다리구이","310kcal","0","0","앙버터모닝빵","335kcal","","","3101.50kcal"
"2026-06-13","시저샐러드","102.44kcal","0","0","홍합탕","24.89kcal","","","3101.50kcal"
"2026-06-13","할라피뇨&오이피클","35.16kcal","0","0","쇠고기야채볶음","427.17kcal","","","3101.50kcal"
"2026-06-13","바나나","81.6kcal","0","0","오이부추무침","9.94kcal","","","3101.50kcal"
"2026-06-13","백색우유","129.5kcal","0","0","배추김치","14kcal","","","3101.50kcal"
"2026-06-13","햄&치즈크로와상","354.17kcal","0","0","0","0","","","3101.50kcal"
"2026-06-14","쌀밥","306kcal","쌀밥","306kcal","블루베리크림치즈베이글","941.1kcal","","","3472.68kcal"
"2026-06-14","두부김치국","57.05kcal","닭고기무국","57.8kcal","베이컨구이","255kcal","","","3472.68kcal"
"2026-06-14","돼지불고기","421.7kcal","고기떡말이구이","305.45kcal","쇠고기크림스프","130.12kcal","","","3472.68kcal"
"2026-06-14","청경채겉절이","30.09kcal","콩나물매운무침","27.52kcal","백색우유","129.5kcal","","","3472.68kcal"
"2026-06-14","두유","140kcal","프로틴음료","110kcal","키위드레싱샐러드","8.85kcal","","","3472.68kcal"
"2026-06-14","배추김치","14kcal","배추김치","14kcal","시리얼","218.5kcal","","","3472.68kcal"
"2026-06-15","쌀밥","306kcal","쌀밥","306kcal","찰보리밥","306.16kcal","","","2550.79kcal"
"2026-06-15","바지락살미역국","14.19kcal","돼지김치콩비지찌개","187.94kcal","햄감자찌개","120.55kcal","","","2550.79kcal"
"2026-06-15","닭고기김치찜","244.22kcal","훈제오리폭찹","449.85kcal","돼지고기통마늘조림","270.47kcal","","","2550.79kcal"
"2026-05-14","쇠고기아욱국","84.9kcal","김가루주먹밥(소량)","114.05kcal","얼큰콩나물국","25.99kcal","","","2803.25kcal"
"2026-05-14","베이컨양배추볶음","219.65kcal","멘보샤","120.3kcal","수육동파육","647.82kcal","","","2803.25kcal"
"2026-05-14","계란장조림","154.15kcal","도라지오이무침","43.46kcal","파채양파무침","13.11kcal","","","2803.25kcal"
"2026-05-14","백색우유","129.5kcal","요구르트","45kcal","컵형과일푸딩","91kcal","","","2803.25kcal"
"2026-05-14","배추김치","14kcal","배추김치","14kcal","배추김치","14kcal","","","2803.25kcal"
"2026-05-15","쌀밥(소량)","108kcal","잡곡밥","312.38kcal","새우볶음밥(소량)","518.02kcal","","","4192.62kcal"
"2026-05-15","사골떡국","385.04kcal","우렁고추장찌개","67.62kcal","유부어묵탕","54.55kcal","","","4192.62kcal"
"2026-05-15","명란떡갈비","438.2kcal","부들어묵볶음","132.31kcal","바베큐폭립","711.89kcal","","","4192.62kcal"
"2026-05-15","알마늘오징어젓무침","35.44kcal","마늘후레이크닭강정","479.38kcal","블랙올리브치아바타","658.4kcal","","","4192.62kcal"
"2026-05-15","백색우유","129.5kcal","사과(후지)","42.63kcal","리코타치즈샐러드","77.26kcal","","","4192.62kcal"
"2026-05-15","배추김치","14kcal","배추김치","14kcal","배추김치","14kcal","","","4192.62kcal"
"2026-05-16","주먹밥(김치치즈맛)","177kcal","라면(즉석 컵)","365kcal","쌀밥","306kcal","","","2067.02kcal"
"2026-05-16","양큐브스테이크구이","372.64kcal","","","돼지고기고추장찌개","77.24kcal","","","2067.02kcal"
"2026-05-16","모듬피클&할라피뇨","51kcal","","","비엔나소시지야채볶음","186.59kcal","","","2067.02kcal"
"2026-05-16","바나나","81.6kcal","","","미나리무생채","17.12kcal","","","2067.02kcal"
"2026-05-16","황도샐러드","89.8kcal","","","배추김치","14kcal","","","2067.02kcal"
"2026-05-16","잠봉뵈르브리또","279.03kcal","","","","","","","2067.02kcal"
"2026-05-16","콜라","50kcal","","","","","","","2067.02kcal"
"2026-05-17","쌀밥","306kcal","쌀밥","306kcal","찹쌀밥","338kcal","","","3135.93kcal"
"2026-05-17","차돌육개장(완)","87.14kcal","호박된장찌개","67.3kcal","닭볶음탕","421.94kcal","","","3135.93kcal"
"2026-05-17","간장메추리알","171.2kcal","제육간장불고기","480.94kcal","돈육새송이야채볶음","451.46kcal","","","3135.93kcal"
"2026-05-17","토핑형발효유2","200kcal","와사비쌈무","9.7kcal","콩나물무침","27.63kcal","","","3135.93kcal"
"2026-05-17","양념전복장","92.72kcal","배추김치","14kcal","단호박샐러드(완)","133.9kcal","","","3135.93kcal"
"2026-05-17","배추김치","14kcal","","","배추김치","14kcal","","","3135.93kcal"
"2026-05-18","쌀밥","306kcal","들깨수제비","219.23kcal","쌀밥","306kcal","","","2877.82kcal"
"2026-05-18","황태채계란국","57.98kcal","찰수수밥","307.87kcal","쇠고기곰탕","98.53kcal","","","2877.82kcal"
"2026-05-18","멸치땅콩볶음","110.98kcal","오리고추장주물럭","405.89kcal","돈육김치볶음","258.67kcal","","","2877.82kcal"
"2026-05-18","쇠고기감자조림","280.02kcal","명이나물","46kcal","두부찜","186.04kcal","","","2877.82kcal"
"2026-05-18","백색우유","129.5kcal","모듬야채&두부쌈장","48.11kcal","크림슈","75kcal","","","2877.82kcal"
"2026-05-18","배추김치","14kcal","배추김치","14kcal","배추김치","14kcal","","","2877.82kcal"
"2026-05-19","쌀밥","306kcal","통밀잡곡밥","288.92kcal","쌀밥","306kcal","","","2599.89kcal"
"2026-05-19","돼지고기애호박찌개","100.54kcal","뼈없는감자탕","213.26kcal","팽이버섯된장국","33.37kcal","","","2599.89kcal"
"2026-05-19","닭순살양배추볶음","267.76kcal","삼치구이&깐풍소스","158.85kcal","식빵튀김","210.52kcal","","","2599.89kcal"
"2026-05-19","궁채장아찌","15.5kcal","시금치무침","18.91kcal","불고기떡갈비&파인데리소스","335.57kcal","","","2599.89kcal"
"2026-05-19","가공우유(초코)","160kcal","대추방울토마토","10.2kcal","올리브바질파스타샐러드","132.49kcal","","","2599.89kcal"
"2026-05-19","배추김치","14kcal","배추김치","14kcal","배추김치","14kcal","","","2599.89kcal"
"2026-05-20","조밥","307.79kcal","삼선짜장밥","501.42kcal","쌀밥","306kcal","","","2848.18kcal"
"2026-05-20","쇠고기미역국","50.39kcal","짬뽕탕","189.35kcal","어묵국","56.94kcal","","","2848.18kcal"
"2026-05-20","햄슬라이스야채볶음","26.25kcal","사천탕수육","820.38kcal","대패삼겹막창볶음","277.8kcal","","","2848.18kcal"
"2026-05-20","연두부양념장","73.13kcal","조각케익","0kcal","후식(1종)","39kcal","","","2848.18kcal"
"2026-05-20","백색우유","129.5kcal","배추김치&단무지","11kcal","무쌈샐러드","31.23kcal","","","2848.18kcal"
"2026-05-20","배추김치","14kcal","","","배추김치","14kcal","","","2848.18kcal"
"2026-05-21","쌀밥","306kcal","완두콩밥","298kcal","통새우치즈버거","975.78kcal","","","3429.90kcal"
"2026-05-21","두부된장국","41.44kcal","계란조갯살찌개","70.81kcal","벌집고구마튀김","200.8kcal","","","3429.90kcal"
"2026-05-21","돈육메추리알조림","298.66kcal","쇠고기불고기","415.23kcal","닭고기크림스프","128.56kcal","","","3429.90kcal"
"2026-05-21","오이양파무침","22.42kcal","취나물무침","107.1kcal","제로사이다","0kcal","","","3429.90kcal"
"2026-05-21","두유","140kcal","참외","38kcal","시리얼","218.5kcal","","","3429.90kcal"
"2026-05-21","배추김치","14kcal","배추김치","14kcal","어린잎채소샐러드","11.1kcal","","","3429.90kcal"
"2026-05-21","","","","","백색우유","129.5kcal","","","3429.90kcal"
"2026-05-22","버터간장계란밥","770.06kcal","콩나물밥&부추양념장","426.05kcal","쌀밥","306kcal","","","2930.57kcal"
"2026-05-22","쇠고기우거지국","85.4kcal","들깨미역국","29.36kcal","얼큰차돌박이찌개","95.4kcal","","","2930.57kcal"
"2026-05-22","떡말이어묵구이","166.28kcal","치즈불닭","499.07kcal","스팸구이","50.25kcal","","","2930.57kcal"
"2026-05-22","백색우유","129.5kcal","코코넛새우꼬치튀김&칠리소스","277.5kcal","진미채야채무침","18.1kcal","","","2930.57kcal"
"2026-05-22","배추김치","14kcal","배추김치","14kcal","트리플베리요거트","35.6kcal","","","2930.57kcal"
"2026-05-22","","","","","배추김치","14kcal","","","2930.57kcal"
"2026-05-23","샌드와플","268.8kcal","컵밥2","187kcal","쌀밥","306kcal","","","2424.80kcal"
"2026-05-23","오징어먹물면크림스파게티","564.92kcal","","","황태설렁탕","142.87kcal","","","2424.80kcal"
"2026-05-23","큐브스테이크","283.37kcal","","","쇠고기불낙볶음","369.89kcal","","","2424.80kcal"
"2026-05-23","오이피클","43.74kcal","","","풋고추쌈장무침","24.19kcal","","","2424.80kcal"
"2026-05-23","메론","76kcal","","","ABC주스","0kcal","","","2424.80kcal"
"2026-05-23","탄산음료","110kcal","","","배추김치","14kcal","","","2424.80kcal"
"2026-05-23","유자드레싱샐러드","34.02kcal","","","","","","","2424.80kcal"
"2026-05-24","쌀밥","306kcal","산채비빔밥&약고추장","494.84kcal","철판삼겹살볶음밥(완)","1134.8kcal","","","3943.99kcal"
"2026-05-24","닭곰탕","135.08kcal","강된장찌개","106.47kcal","유부장국","7.27kcal","","","3943.99kcal"
"2026-05-24","깻잎미트볼","283.84kcal","오미산적","463.05kcal","뿌링클소떡소떡","354.02kcal","","","3943.99kcal"
"2026-05-24","무오이장아찌","39.1kcal","도토리묵&양념장","55.93kcal","간장전복장","68.09kcal","","","3943.99kcal"
"2026-05-24","백색우유","129.5kcal","바람떡","200kcal","토핑형발효유","124kcal","","","3943.99kcal"
"2026-05-24","배추김치","14kcal","배추김치","14kcal","배추김치","14kcal","","","3943.99kcal"
"2026-05-25","쌀밥","306kcal","쌀밥","306kcal","쌀밥(소량)","108kcal","","","2514.03kcal"
"2026-05-25","돼지고기짜글이","165.88kcal","사골우거지국","72.85kcal","포켓토스트(완)","384kcal","","","2514.03kcal"
"2026-05-25","밥싸먹는닭가슴살햄","55kcal","새송이버섯햄볶음","68.23kcal","콩나물국","25.29kcal","","","2514.03kcal"
"2026-05-25","락교오징어젓무침","54.04kcal","쇠고기마파두부","213.57kcal","분모자안동찜닭","399.96kcal","","","2514.03kcal"
"2026-05-25","백색우유","129.5kcal","하루견과","136.3kcal","마늘쫑장아찌무침","47.41kcal","","","2514.03kcal"
"2026-05-25","배추김치","14kcal","배추김치","14kcal","배추김치","14kcal","","","2514.03kcal"
"2026-05-26","쌀밥","306kcal","검은콩밥","318kcal","후리가케밥","308.76kcal","","","2654.79kcal"
"2026-05-26","쇠고기당면찌개","69.28kcal","홍합탕","27.35kcal","새우완탕국","194.98kcal","","","2654.79kcal"
"2026-05-26","멸치호두볶음","120.64kcal","묵은지돼지갈비찜","416.89kcal","무뼈닭발","261.48kcal","","","2654.79kcal"
"2026-05-26","까르보미트볼","215.72kcal","충무식오징어무침","209.89kcal","쌈무&깻잎","12.1kcal","","","2654.79kcal"
"2026-05-26","가공우유(쿠키앤크림)","85kcal","대추방울토마토","10.2kcal","자두에이드","56.5kcal","","","2654.79kcal"
"2026-05-26","배추김치","14kcal","배추김치","14kcal","배추김치","14kcal","","","2654.79kcal"
"2026-05-27","쌀밥","306kcal","찰현미밥","324.15kcal","도토리온묵밥","374.52kcal","","","3213.62kcal"
"2026-05-27","김계란국","75.42kcal","치즈부대찌개","227.82kcal","동파족발","0.89kcal","","","3213.62kcal"
"2026-05-27","베이컨감자채볶음","151.05kcal","생선가스&감자튀김","534.64kcal","오이고추장무침","39.22kcal","","","3213.62kcal"
"2026-05-27","쇠고기장조림","246.55kcal","망고버블티","497.77kcal","아이스홍시","200kcal","","","3213.62kcal"
"2026-05-27","백색우유","129.5kcal","토마토그린샐러드","64.09kcal","배추김치","14kcal","","","3213.62kcal"
"2026-05-27","배추김치","14kcal","배추김치","14kcal","","","","","3213.62kcal"
"2026-05-28","쌀밥","306kcal","한우쌀국수","438.69kcal","잡곡밥","312.38kcal","","","2818.66kcal"
"2026-05-28","순두부백탕","67.17kcal","나시고랭볶음밥(완,소량)","232.95kcal","참치고추장찌개","65.16kcal","","","2818.66kcal"
"2026-05-28","부추표고버섯볶음","35.08kcal","통새우짜조롤","347.9kcal","들깨순볶음","22.74kcal","","","2818.66kcal"
"2026-05-28","고기떡말이구이","305.45kcal","꽃맛살샐러드","119.92kcal","파채너비아니구이","310.72kcal","","","2818.66kcal"
"2026-05-28","백색우유","129.5kcal","요구르트","45kcal","참외","38kcal","","","2818.66kcal"
"2026-05-28","배추김치","14kcal","배추김치","14kcal","배추김치","14kcal","","","2818.66kcal"
"2026-05-29","쌀밥","306kcal","병아리콩밥","349.4kcal","쌀밥","306kcal","","","3977.30kcal"
"2026-05-29","바지락된장찌개","97.01kcal","꼬치어묵탕","45.02kcal","버섯샤브국","41.04kcal","","","3977.30kcal"
"2026-05-29","쇠고기야채볶음","427.17kcal","모듬떡볶이","507.83kcal","달고마닭갈비","312.91kcal","","","3977.30kcal"
"2026-05-29","햄계란찜","157.95kcal","돈육연탄불고기","930.05kcal","꽈리고추메추리알조림","206.42kcal","","","3977.30kcal"
"2026-05-29","백색우유","129.5kcal","후식(1종)","39kcal","프로틴초코볼","80kcal","","","3977.30kcal"
"2026-05-29","배추김치","14kcal","배추김치","14kcal","배추김치","14kcal","","","3977.30kcal"
"2026-05-30","쫄우동","770.52kcal","라면(즉석 컵)","365kcal","쌀밥","306kcal","","","3799.79kcal"
"2026-05-30","김밥볶음밥(소량)","237.68kcal","","","건새우애호박찌개","45.96kcal","","","3799.79kcal"
"2026-05-30","단무지","5kcal","","","쇠고기연근조림","311.33kcal","","","3799.79kcal"
"2026-04-28","사골배추국","73.02kcal","계란조갯살찌개","69.98kcal","어묵&물떡꼬치","181.66kcal","","","2527.53kcal"
"2026-04-28","밥싸먹는닭가슴살햄","55kcal","돼지불고기","421.49kcal","로제떡볶이","327.69kcal","","","2527.53kcal"
"2026-04-28","참치두부조림","237.06kcal","모듬쌈","12.33kcal","모듬튀김","538.2kcal","","","2527.53kcal"
"2026-04-28","백색우유","129.5kcal","아망추","125.01kcal","쥬시쿨(자두맛)","65kcal","","","2527.53kcal"
