날짜,조식,조식열량,중식,중식열량,석식,석식열량,증특식,증특식열량,열량합계
"2023-01-09","쇠고기무국(05)","75.8kcal","유부장국(05)(06)","35.8kcal","불향가득짬뽕탕(완)(01)(02)(05)(06)(10)(12)(15)(16)(17)(18)","235kcal","","","2897.84kcal"
"2023-01-09","소시지구이(2형)","255.25kcal","멘츠카츠(10)","357.01kcal","닭꼬치","0kcal","","","2897.84kcal"
"2023-01-09","계란장조림(01)(05)(06)(16)","129.57kcal","모닝빵(1)(01)(02)(05)(06)","115.2kcal","산고추절임","8.32kcal","","","2897.84kcal"
"2023-01-09","배추김치","0kcal","배추김치","0kcal","깍두기(09)","15.2kcal","","","2897.84kcal"
"2023-01-09","우유(백색우유(200ML,연간))(02)","122kcal","이온음료","58.8kcal","","","","","2897.84kcal"
"2023-01-10","감자수제비(05)(06)","151.52kcal","잔치국수(01)(05)","966.63kcal","잡곡밥","356.06kcal","","","3278.48kcal"
"2023-01-10","밥","359.37kcal","국수양념장(05)(06)","9.59kcal","팽이버섯된장국(05)","22.88kcal","","","3278.48kcal"
"2023-01-10","닭순살양배추볶음(05)(06)(15)","252.43kcal","알배기배추겉절이(09)","61.65kcal","콩나물불고기(05)(06)","400.07kcal","","","3278.48kcal"
"2023-01-10","멸치아몬드볶음(05)(06)","93.48kcal","꼬들단무지무침(13)","11.52kcal","파인애플함박스테이크(06)(10)(16)","318.25kcal","","","3278.48kcal"
"2023-01-10","배추김치","0kcal","까망베르치즈바(02)(05)(06)","72kcal","백김치","0kcal","","","3278.48kcal"
"2023-01-10","우유(백색우유(200ML,연간))(02)","122kcal","짜먹는요구르트(02)","38.4kcal","사과(후지)","42.63kcal","","","3278.48kcal"
"2023-01-11","밥","359.37kcal","현미밥","381.15kcal","밥","359.37kcal","","","2099.69kcal"
"2023-01-11","두부맑은국(05)(09)","39.38kcal","홍합탕","35.64kcal","중화식계란탕(01)(05)(06)","95.34kcal","","","2099.69kcal"
"2023-01-11","동그랑땡데리야끼조림(05)(06)","26.6kcal","순대곱창볶음(05)(06)(10)","224.37kcal","해물팔보채(05)(06)(09)(17)(18)","144.38kcal","","","2099.69kcal"
"2023-01-11","땅콩조림(04)","48.26kcal","조미김","0kcal","피자왕춘권","21.01kcal","","","2099.69kcal"
